"Reference"          , "Qty", "Value"                    , "DNP", "Exclude from BOM", "Exclude from Board", "Footprint"                                                 , "Datasheet"                                                                                                             , "LCSC"
"C1,C10,C11,C14"     , "4"  , "100nF"                    , ""   , ""                , ""                  , "PCM_JLCPCB:C_0603"                                         , "https://www.lcsc.com/datasheet/lcsc_datasheet_2211101700_YAGEO-CC0603KRX7R9BB104_C14663.pdf"                           , "C14663"
"C2,C3,C8"           , "3"  , "1uF"                      , ""   , ""                , ""                  , "PCM_JLCPCB:C_0603"                                         , "https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Samsung-Electro-Mechanics-CL10A105KB8NNNC_C15849.pdf"         , "C15849"
"C4"                 , "1"  , "4.7uF"                    , ""   , ""                , ""                  , "PCM_JLCPCB:C_0603"                                         , "https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Samsung-Electro-Mechanics-CL10A475KO8NNNC_C19666.pdf"         , "C19666"
"C5,C6,C7,C9,C12,C13", "6"  , "10nF"                     , ""   , ""                , ""                  , "PCM_JLCPCB:C_0603"                                         , "https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_FH--Guangdong-Fenghua-Advanced-Tech-0603B103K500NT_C57112.pdf", "C57112"
"D1"                 , "1"  , "Yellow"                   , ""   , ""                , ""                  , "PCM_JLCPCB:D_0603"                                         , "https://www.lcsc.com/datasheet/lcsc_datasheet_2008201033_Foshan-NationStar-Optoelectronics-NCD0603Y2_C89811.pdf"       , "C89811"
"FB1"                , "1"  , "~"                        , ""   , ""                , ""                  , "PCM_JLCPCB:FB_0603"                                        , "https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Murata-Electronics-BLM18PG121SN1D_C14709.pdf"                 , "C14709"
"H1,H2,H3,H4"        , "4"  , "MountingHole"             , ""   , "Excluído do BOM" , ""                  , "MountingHole:MountingHole_3.2mm_M3"                        , "~"                                                                                                                     , ""
"J1"                 , "1"  , "Connector, USB-TYPE-C-16P", ""   , ""                , ""                  , "PCM_JLCPCB:TYPE-C-SMD_HX-TYPE-C-16PIN"                     , "https://atta.szlcsc.com/upload/public/pdf/source/20220920/0EF8F885FCCEA71F60E9E85152155021.pdf"                        , "C2927039"
"J2"                 , "1"  , "Conn_01x03"               , ""   , ""                , ""                  , "Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical", "~"                                                                                                                     , "C5445396"
"R1,R2"              , "2"  , "5.1kΩ"                    , ""   , ""                , ""                  , "PCM_JLCPCB:R_0603"                                         , "https://www.lcsc.com/datasheet/lcsc_datasheet_2206010116_UNI-ROYAL-Uniroyal-Elec-0603WAF5101T5E_C23186.pdf"            , "C23186"
"R3"                 , "1"  , "1MΩ"                      , ""   , ""                , ""                  , "PCM_JLCPCB:R_0603"                                         , "https://www.lcsc.com/datasheet/lcsc_datasheet_2206010130_UNI-ROYAL-Uniroyal-Elec-0603WAF1004T5E_C22935.pdf"            , "C22935"
"R4,R5,R6,R8,R9"     , "5"  , "1kΩ"                      , ""   , ""                , ""                  , "PCM_JLCPCB:R_0603"                                         , "https://www.lcsc.com/datasheet/lcsc_datasheet_2206010130_UNI-ROYAL-Uniroyal-Elec-0603WAF1001T5E_C21190.pdf"            , "C21190"
"R7"                 , "1"  , "220Ω"                     , ""   , ""                , ""                  , "PCM_JLCPCB:R_0603"                                         , "https://www.lcsc.com/datasheet/lcsc_datasheet_2206010130_UNI-ROYAL-Uniroyal-Elec-0603WAF2200T5E_C22962.pdf"            , "C22962"
"RV1"                , "1"  , "1M"                       , ""   , ""                , ""                  , "Potentiometer_SMD:Potentiometer_Bourns_3314G_Vertical"     , "~"                                                                                                                     , "C780218"
"S1"                 , "1"  , "Tactile Button, 160gf"    , ""   , ""                , ""                  , "PCM_JLCPCB:SW_TS-1088-AR02016"                             , "https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_XUNPU-TS-1088-AR02016_C720477.pdf"                            , "C720477"
"SW1"                , "1"  , "SW_SPDT"                  , ""   , ""                , ""                  , "Buttons_THT:SW_SPDT_L7.0mm_H16.0mm_W7.00mm"                , "~"                                                                                                                     , "C7435557"
"U1"                 , "1"  , "USBLC6-2SC6"              , ""   , ""                , ""                  , "Package_TO_SOT_SMD:SOT-23-6"                               , "https://www.st.com/resource/en/datasheet/usblc6-2.pdf"                                                                 , "C7519"
"U2,U3,U6"           , "3"  , "NE555DR"                  , ""   , ""                , ""                  , "PCM_JLCPCB:SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL"                , "https://www.lcsc.com/datasheet/lcsc_datasheet_1811012330_Texas-Instruments-NE555DR_C7593.pdf"                          , "C7593"
"U4"                 , "1"  , "74HC08D"                  , ""   , ""                , ""                  , "PCM_JLCPCB:SOIC-14_L8.7-W3.9-P1.27-LS6.0-BL"               , "https://www.lcsc.com/datasheet/lcsc_datasheet_2407241044_Nexperia-74HC08D-653_C5593.pdf"                               , "C5593"
"U5"                 , "1"  , "74HC32D"                  , ""   , ""                , ""                  , "PCM_JLCPCB:SOIC-14_L8.7-W3.9-P1.27-LS6.0-BL"               , "https://www.ti.com/lit/ds/symlink/sn54hc32.pdf"                                                                        , "C6838"
"U7"                 , "1"  , "74HC04D"                  , ""   , ""                , ""                  , "PCM_JLCPCB:SOIC-14_L8.7-W3.9-P1.27-LS6.0-BL"               , "https://www.lcsc.com/datasheet/lcsc_datasheet_2407241044_Nexperia-74HC04D-653_C5590.pdf"                               , "C5590"
