Designator, Val                        , Package                              , MidX     , MidY     , Rotation       , Layer
"C1"      , "100nF"                    , "C_0603"                             , 60.025000, 16.600000, 0.000000  , top
"C2"      , "1uF"                      , "C_0603"                             , 58.275000, 18.500000, 0.000000  , top
"C3"      , "1uF"                      , "C_0603"                             , 55.125000, 18.525000, 180.000000, top
"C4"      , "4.7uF"                    , "C_0603"                             , 52.775000, 11.650000, -90.000000, top
"C5"      , "10nF"                     , "C_0603"                             , 45.825000, 16.575000, 0.000000  , top
"C6"      , "10nF"                     , "C_0603"                             , 34.155000,  9.415000, 0.000000  , top
"C7"      , "10nF"                     , "C_0603"                             , 47.800000,  9.450000, 0.000000  , top
"C8"      , "1uF"                      , "C_0603"                             , 39.230000, 11.640000, -90.000000, top
"C9"      , "10nF"                     , "C_0603"                             , 32.180000, 16.465000, 0.000000  , top
"C10"     , "100nF"                    , "C_0603"                             , 43.375000, 25.520000, 90.000000 , top
"C11"     , "100nF"                    , "C_0603"                             , 32.975000, 25.630000, 90.000000 , top
"C12"     , "10nF"                     , "C_0603"                             ,  7.075000, 12.670000, 90.000000 , top
"C13"     , "10nF"                     , "C_0603"                             ,  9.980000, 16.750000, 0.000000  , top
"C14"     , "100nF"                    , "C_0603"                             , 22.325000, 25.650000, 90.000000 , top
"D1"      , "Yellow"                   , "D_0603"                             , 18.400000, 31.910000, 0.000000  , top
"FB1"     , "~"                        , "FB_0603"                            , 56.700000, 16.600000, 180.000000, top
"J1"      , "Connector, USB-TYPE-C-16P", "TYPE-C-SMD_HX-TYPE-C-16PIN"         , 67.225000, 16.225000, 90.000000 , top
"J2"      , "Conn_01x03"               , "PinHeader_1x03_P2.54mm_Vertical"    , 58.400000, 26.460000, 180.000000, top
"R1"      , "5.1kΩ"                    , "R_0603"                             , 62.550000, 18.775000, 90.000000 , top
"R2"      , "5.1kΩ"                    , "R_0603"                             , 62.575000, 15.780000, 90.000000 , top
"R3"      , "1MΩ"                      , "R_0603"                             , 42.675000, 11.650000, 90.000000 , top
"R4"      , "1kΩ"                      , "R_0603"                             , 40.950000, 11.650000, 90.000000 , top
"R5"      , "1kΩ"                      , "R_0603"                             , 29.180000, 11.620000, 90.000000 , top
"R6"      , "1kΩ"                      , "R_0603"                             , 27.605000, 11.615000, 90.000000 , top
"R7"      , "220Ω"                     , "R_0603"                             , 17.600000, 28.805000, 90.000000 , top
"R8"      , "1kΩ"                      , "R_0603"                             , 16.975000, 11.855000, 90.000000 , top
"R9"      , "1kΩ"                      , "R_0603"                             , 13.925000, 16.750000, 0.000000  , top
"RV1"     , "1M"                       , "Potentiometer_Bourns_3314G_Vertical", 23.475000, 13.550000, 0.000000  , top
"S1"      , "Tactile Button, 160gf"    , "SW_TS-1088-AR02016"                 , 57.200000,  8.525000, 180.000000, top
"SW1"     , "SW_SPDT"                  , "SW_SPDT_L7.0mm_H16.0mm_W7.00mm"     , 11.500000, 23.000000, 0.000000  , top
"U1"      , "USBLC6-2SC6"              , "SOT-23-6"                           , 59.500000, 13.800000, 0.000000  , top
"U2"      , "NE555DR"                  , "SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL"    , 47.800000, 12.975000, 90.000000 , top
"U3"      , "NE555DR"                  , "SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL"    , 34.155000, 12.940000, 90.000000 , top
"U4"      , "74HC08D"                  , "SOIC-14_L8.7-W3.9-P1.27-LS6.0-BL"   , 48.100000, 28.552500, 180.000000, top
"U5"      , "74HC32D"                  , "SOIC-14_L8.7-W3.9-P1.27-LS6.0-BL"   , 37.700000, 28.675000, 180.000000, top
"U6"      , "NE555DR"                  , "SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL"    , 11.975000, 13.325000, 90.000000 , top
"U7"      , "74HC04D"                  , "SOIC-14_L8.7-W3.9-P1.27-LS6.0-BL"   , 27.050000, 28.690000, 180.000000, top
